Admission grade,Age at enrollment,eval_ratio_1st,approval_rate_1st,approval_rate_2nd,eval_miss_rate_1st,total_approved,total_enrolled,overall_approval_rate,Marital status,application_group,Daytime/evening attendance	,Gender,International,Scholarship holder,Tuition fees up to date,Debtor,Mother_edu_group,Father_edu_group,Target
127.3,20,0.0,0.0,0.0,0.0,0,0,0.0,1,general_admission,1,1,0,0,1,0,medium,medium,Dropout
142.5,19,1.0,1.0,1.0,0.0,12,12,1.0,1,international,1,1,0,0,0,0,medium,high,Graduate
124.8,19,0.0,0.0,0.0,0.0,0,12,0.0,1,general_admission,1,1,0,0,0,0,low,low,Dropout
119.6,20,1.3333333333333333,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,1,general_admission,1,0,0,0,1,0,low,low,Graduate
141.5,45,1.5,0.8333333333333334,1.0,0.0,11,12,0.9166666666666666,2,mature_student,0,0,0,0,1,0,low,low,Graduate
114.8,50,2.0,1.0,1.0,0.0,10,10,1.0,2,mature_student,0,1,0,0,1,1,low,low,Graduate
128.4,18,1.2857142857142858,1.0,1.0,0.0,15,15,1.0,1,general_admission,1,0,0,1,1,0,medium,low,Graduate
113.1,22,1.0,0.0,0.0,0.0,0,10,0.0,1,general_admission,1,1,0,0,0,0,low,low,Dropout
129.3,21,1.3333333333333333,1.0,1.0,0.0,12,12,1.0,1,general_admission,1,0,1,1,1,0,medium,medium,Graduate
123.0,18,1.5,0.8333333333333334,0.3333333333333333,0.0,7,12,0.5833333333333334,1,general_admission,1,0,0,0,0,1,medium,medium,Dropout
130.6,18,1.0,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,1,general_admission,1,0,0,0,1,0,low,medium,Graduate
119.3,18,1.0,0.875,0.875,0.0,14,16,0.875,1,general_admission,1,0,0,1,1,0,medium,low,Graduate
130.2,19,1.0,0.0,0.0,0.0,0,12,0.0,1,general_admission,1,0,0,0,1,0,medium,low,Dropout
111.8,21,1.1666666666666667,1.0,0.8333333333333334,0.0,11,12,0.9166666666666666,1,prior_higher_ed,1,0,0,1,1,0,medium,medium,Graduate
137.1,18,1.4,0.8,1.0,0.0,9,10,0.9,1,general_admission,1,0,0,1,1,0,low,low,Graduate
120.7,20,1.0,0.8333333333333334,0.0,0.0,5,12,0.4166666666666667,1,general_admission,1,0,0,0,1,0,medium,low,Dropout
137.4,18,1.6666666666666667,0.16666666666666666,0.3333333333333333,0.0,3,12,0.25,1,general_admission,1,0,0,0,1,0,medium,low,Enrolled
